Price,Sales
43.71,653
95.56,227
75.88,396
63.88,429
24.04,801
24.04,818
15.23,923
87.96,281
64.1,463
73.73,395
11.85,933
97.29,232
84.92,305
29.11,783
26.36,792
26.51,817
37.38,680
57.23,532
48.88,597
36.21,666
65.07,488
22.55,827
36.29,710
42.97,649
51.05,549
80.67,342
27.97,766
56.28,526
63.32,489
14.18,899
64.68,539
25.35,802
15.85,881
95.4,235
96.91,167
82.76,337
37.42,702
18.79,924
71.58,422
49.61,612
20.98,831
54.57,528
13.09,930
91.84,288
33.29,757
69.63,416
38.05,738
56.81,503
59.2,544
26.64,853
97.26,192
79.76,345
94.55,247
90.53,261
63.81,443
92.97,258
17.96,824
27.64,793
14.07,860
39.28,732
44.98,617
34.42,715
84.59,348
42.11,626
35.28,725
58.84,568
22.68,770
82.2,348
16.71,874
98.82,233
79.5,327
27.88,737
10.5,932
83.39,342
73.62,419
75.61,406
79.41,344
16.66,874
42.26,671
20.43,815
87.68,355
66.1,485
39.78,646
15.72,894
37.99,667
39.27,709
75.66,429
67.38,436
89.85,310
52.5,592
20.76,859
74.19,463
78.47,365
60.51,493
79.39,338
54.44,540
57.05,541
48.48,622
12.29,910
19.71,867
