日期,当日最高气温(℃),销售额(元)
2024/3/1,38,2825
2024/3/2,28,2592
2024/3/3,24,2187
2024/3/4,20,2019
2024/3/5,23,2196
2024/3/6,39,2959
2024/3/7,28,2246
2024/3/8,37,2696
2024/3/9,40,2897
2024/3/10,28,2419
2024/3/11,32,2759
2024/3/12,32,2431
2024/3/13,26,2235
2024/3/14,39,3040
2024/3/15,38,2719
2024/3/16,27,2354
2024/3/17,28,2572
2024/3/18,38,2794
2024/3/19,21,2061
2024/3/20,23,2082
2024/3/21,39,2767
2024/3/22,28,2365
2024/3/23,39,3000
2024/3/24,25,2093
2024/3/25,37,2998
2024/3/26,26,2212
2024/3/27,37,2955
2024/3/28,28,2227
2024/3/29,39,2923
2024/3/30,35,2681
2024/3/31,36,2757
2024/4/1,34,2718
2024/4/2,31,2626
2024/4/3,27,2322
2024/4/4,38,3049
2024/4/5,24,2382
2024/4/6,22,2017
2024/4/7,21,1975
2024/4/8,39,2865
2024/4/9,22,1977
2024/4/10,24,2172
2024/4/11,35,2913
2024/4/12,34,2818
2024/4/13,35,2591
2024/4/14,35,2816
2024/4/15,23,2327
2024/4/16,22,2292
2024/4/17,30,2419
2024/4/18,34,2654
2024/4/19,33,2693
2024/4/20,28,2384
2024/4/21,27,2449
2024/4/22,27,2481
2024/4/23,34,2566
2024/4/24,36,2887
2024/4/25,25,2367
2024/4/26,25,2399
2024/4/27,28,2524
2024/4/28,27,2519
2024/4/29,39,2778
2024/4/30,39,3133
2024/5/1,28,2271
2024/5/2,35,2576
2024/5/3,25,2183
2024/5/4,22,2017
2024/5/5,29,2301
2024/5/6,40,3182
2024/5/7,20,2207
2024/5/8,28,2420
2024/5/9,40,2819
2024/5/10,40,3020
2024/5/11,26,2315
2024/5/12,23,2266
2024/5/13,31,2496
2024/5/14,37,2993
2024/5/15,35,2730
2024/5/16,23,2341
2024/5/17,21,2175
2024/5/18,37,2675
2024/5/19,40,3180
2024/5/20,28,2348
2024/5/21,28,2242
2024/5/22,38,2731
2024/5/23,35,2962
2024/5/24,27,2449
2024/5/25,29,2311
2024/5/26,33,2640
2024/5/27,40,3179
2024/5/28,40,2837
2024/5/29,40,3015
2024/5/30,37,2838
2024/5/31,38,2872
2024/6/1,27,2550
2024/6/2,30,2558
2024/6/3,36,2640
2024/6/4,38,3110
2024/6/5,32,2636
2024/6/6,34,2623
2024/6/7,24,2307
2024/6/8,40,3151
